date,state,active_cases,cured_discharged_migrated,deaths,total_confirmed_cases
2020-07-17 00:00:00,,,,,
2020-07-17 00:00:00,,,,,
2020-07-17 00:00:00,,,,,
2020-07-23 00:00:00,Andaman and Nicobar Islands,58,163,0,221
2020-07-23 00:00:00,Andhra Pradesh,31763,32127,823,64713
2020-07-23 00:00:00,Arunachal Pradesh,632,314,3,949
2020-07-23 00:00:00,Assam,8675,18033,64,26772
2020-07-23 00:00:00,Bihar,10506,19646,217,30369
2020-07-23 00:00:00,Chandigarh,254,526,13,793
2020-07-23 00:00:00,Chhattisgarh,1709,4230,29,5968
2020-07-23 00:00:00,Dadra and Nagar Haveli and Daman and Diu,257,474,2,733
2020-07-23 00:00:00,Delhi,14954,107650,3719,126323
2020-07-23 00:00:00,Goa,1607,2541,28,4176
2020-07-23 00:00:00,Gujarat,11915,37260,2224,51399
2020-07-23 00:00:00,Haryana,6117,21697,372,28186
2020-07-23 00:00:00,Himachal Pradesh,609,1105,11,1725
2020-07-23 00:00:00,Jammu and Kashmir,6831,8607,273,15711
2020-07-23 00:00:00,Jharkhand,3397,3024,64,6485
2020-07-23 00:00:00,Karnataka,47075,27239,1519,75833
2020-07-23 00:00:00,Kerala,8825,6162,45,15032
2020-07-23 00:00:00,Ladakh,186,1018,2,1206
2020-07-23 00:00:00,Madhya Pradesh,7236,16836,770,24842
2020-07-23 00:00:00,Maharashtra,137282,187769,12556,337607
2020-07-23 00:00:00,Manipur,632,1428,0,2060
2020-07-23 00:00:00,Meghalaya,433,77,4,514
2020-07-23 00:00:00,Mizoram,138,179,0,317
2020-07-23 00:00:00,Nagaland,598,486,0,1084
2020-07-23 00:00:00,Odisha,5977,13750,108,19835
2020-07-23 00:00:00,Puducherry,900,1369,31,2300
2020-07-23 00:00:00,Punjab,3391,7641,269,11301
2020-07-23 00:00:00,Rajasthan,8387,23364,583,32334
2020-07-23 00:00:00,Sikkim,326,112,0,438
2020-07-23 00:00:00,Tamil Nadu,51765,131583,3144,186492
2020-07-23 00:00:00,Telangana,11155,37666,438,49259
2020-07-23 00:00:00,Tripura,1408,2032,9,3449
2020-07-23 00:00:00,Uttarakhand,1894,3349,57,5300
2020-07-23 00:00:00,Uttar Pradesh,20825,33500,1263,55588
2020-07-23 00:00:00,West Bengal,18450,29650,1221,49321
2020-07-23 00:00:00,Total#,426167,"
	","
	","
	"
2020-07-23 00:00:00,,,,,
2020-07-23 00:00:00,,,,,
2020-07-23 00:00:00,,,,,
2020-07-23 00:00:00,,,,,
2020-07-18 00:00:00,Andaman and Nicobar Islands,52,142,0,194
2020-07-18 00:00:00,Andhra Pradesh,19814,20298,534,40646
2020-07-18 00:00:00,Arunachal Pradesh,431,175,3,609
2020-07-18 00:00:00,Assam,6490,14105,51,20646
2020-07-18 00:00:00,Bihar,8767,14621,201,23589
2020-07-18 00:00:00,Chandigarh,169,480,11,660
2020-07-18 00:00:00,Chhattisgarh,1429,3512,23,4964
2020-07-18 00:00:00,Dadra and Nagar Haveli and Daman and Diu,182,401,2,585
2020-07-18 00:00:00,Delhi,17235,99301,3571,120107
2020-07-18 00:00:00,Goa,1337,1946,21,3304
2020-07-18 00:00:00,Gujarat,11351,32973,2106,46430
2020-07-18 00:00:00,Haryana,5752,18718,327,24797
2020-07-18 00:00:00,Himachal Pradesh,382,1024,11,1417
2020-07-18 00:00:00,Jammu and Kashmir,5968,6558,231,12757
2020-07-18 00:00:00,Jharkhand,2305,2570,46,4921
2020-07-18 00:00:00,Karnataka,33211,20757,1147,55115
2020-07-18 00:00:00,Kerala,6033,4995,38,11066
2020-07-18 00:00:00,Ladakh,177,973,1,1151
2020-07-18 00:00:00,Madhya Pradesh,5870,14514,697,21081
2020-07-18 00:00:00,Maharashtra,120780,160357,11452,292589
2020-07-18 00:00:00,Manipur,637,1163,0,1800
2020-07-18 00:00:00,Meghalaya,335,66,2,403
2020-07-18 00:00:00,Mizoram,122,160,0,282
2020-07-18 00:00:00,Nagaland,551,405,0,956
2020-07-18 00:00:00,Odisha,4697,11330,83,16110
2020-07-18 00:00:00,Puducherry,793,1014,25,1832
2020-07-18 00:00:00,Punjab,2830,6373,239,9442
2020-07-18 00:00:00,Rajasthan,6617,20626,546,27789
2020-07-18 00:00:00,Sikkim,176,90,0,266
2020-07-18 00:00:00,Tamil Nadu,47785,110807,2315,160907
2020-07-18 00:00:00,Telangana,13388,28705,403,42496
2020-07-18 00:00:00,Tripura,679,1684,3,2366
2020-07-18 00:00:00,Uttarakhand,1030,3021,51,4102
2020-07-18 00:00:00,Uttar Pradesh,16445,27634,1084,45163
2020-07-18 00:00:00,West Bengal,14709,22253,1049,38011
2020-07-18 00:00:00,Cases being reassigned to states,163,,,163
2020-07-18 00:00:00,Total#,358692,"
	","
	","
	"
2020-07-18 00:00:00,,,,,
2020-07-18 00:00:00,,,,,
2020-07-18 00:00:00,,,,,
2020-07-18 00:00:00,,,,,
2020-07-21 00:00:00,Andaman and Nicobar Islands,55,152,0,207
2020-07-21 00:00:00,Andhra Pradesh,28800,24228,696,53724
2020-07-21 00:00:00,Arunachal Pradesh,502,285,3,790
2020-07-21 00:00:00,Assam,8229,17095,58,25382
2020-07-21 00:00:00,Bihar,9996,17433,217,27646
2020-07-21 00:00:00,Chandigarh,207,518,12,737
2020-07-21 00:00:00,Chhattisgarh,1592,3944,25,5561
2020-07-21 00:00:00,Dadra and Nagar Haveli and Daman and Diu,234,448,2,684
2020-07-21 00:00:00,Delhi,15166,104918,3663,123747
2020-07-21 00:00:00,Goa,1469,2361,23,3853
2020-07-21 00:00:00,Gujarat,11513,35678,2162,49353
